deviation_id,product_id,batch_id,plant_id,deviation_type,severity,root_cause_code,capa_status,reported_date,closed_date
DEV000244,PROD00834,BATCH001201,PLANT02,Labeling Error,Minor,RC025,Closed,2023-01-18,2023-02-18
DEV000245,PROD00236,BATCH001441,PLANT05,Out-of-Specification (OOS),Critical,RC010,Closed,2024-09-21,2024-09-30
DEV000246,PROD00221,BATCH001345,PLANT03,Out-of-Specification (OOS),Minor,RC023,Closed,2025-08-07,2025-08-31
DEV000247,PROD00798,BATCH000396,PLANT01,Documentation Error,Major,RC003,Closed,2024-08-28,2024-09-26
DEV000248,PROD00946,BATCH000878,PLANT01,Process Deviation,Major,RC016,Under Review,2024-04-30,
DEV000249,PROD00213,BATCH001192,PLANT01,Documentation Error,Minor,RC018,Closed,2024-01-07,2024-01-31
DEV000250,PROD00946,BATCH001325,PLANT01,Out-of-Specification (OOS),Minor,RC005,Closed,2024-03-31,2024-04-07
DEV000251,PROD00928,BATCH000045,PLANT03,Labeling Error,Major,RC013,Closed,2025-03-12,2025-03-29
DEV000252,PROD00371,BATCH000965,PLANT01,Out-of-Specification (OOS),Minor,RC021,Closed,2025-04-12,2025-05-08
DEV000253,PROD00538,BATCH000356,PLANT05,Temperature Excursion,Major,RC011,Closed,2024-02-07,2024-03-05
DEV000254,PROD00236,BATCH000703,PLANT05,Contamination,Minor,RC006,Closed,2023-08-15,2023-09-07
DEV000255,PROD00906,BATCH001244,PLANT04,Labeling Error,Minor,RC009,Open,2023-08-25,
DEV000256,PROD00009,BATCH000361,PLANT03,Out-of-Specification (OOS),Critical,RC019,Closed,2024-06-24,2024-07-14
DEV000257,PROD00081,BATCH000706,PLANT03,Equipment Malfunction,Minor,RC002,Closed,2025-07-31,2025-08-27
DEV000258,PROD00959,BATCH001378,PLANT05,Labeling Error,Major,RC013,Open,2023-12-30,
DEV000259,PROD00139,BATCH000203,PLANT02,Contamination,Major,RC021,Under Review,2025-01-26,
DEV000260,PROD00436,BATCH000796,PLANT02,Temperature Excursion,Minor,RC013,Closed,2024-07-07,2024-07-26
DEV000261,PROD00656,BATCH000152,PLANT04,Process Deviation,Major,RC020,Closed,2025-03-09,2025-03-24
DEV000262,PROD00788,BATCH000715,PLANT05,Documentation Error,Critical,RC017,Open,2025-03-26,
DEV000263,PROD00351,BATCH000875,PLANT01,Labeling Error,Minor,RC017,Open,2023-08-16,
DEV000264,PROD00761,BATCH000976,PLANT05,Out-of-Specification (OOS),Minor,RC014,Closed,2025-07-22,2025-07-31
DEV000265,PROD00574,BATCH001486,PLANT03,Temperature Excursion,Minor,RC011,Closed,2025-01-15,2025-01-18
DEV000266,PROD00104,BATCH000127,PLANT05,Out-of-Specification (OOS),Minor,RC006,Under Review,2023-04-06,
DEV000267,PROD00856,BATCH000984,PLANT05,Contamination,Major,RC003,Closed,2024-08-21,2024-09-30
DEV000268,PROD00916,BATCH001044,PLANT02,Process Deviation,Minor,RC020,Closed,2024-03-12,2024-03-25
DEV000269,PROD00120,BATCH000291,PLANT03,Labeling Error,Critical,RC018,Closed,2024-06-08,2024-06-11
DEV000270,PROD00170,BATCH000427,PLANT03,Contamination,Major,RC017,Closed,2025-05-27,2025-07-02
DEV000271,PROD00025,BATCH000110,PLANT02,Equipment Malfunction,Minor,RC010,Open,2024-02-22,
DEV000272,PROD00890,BATCH001270,PLANT04,Labeling Error,Minor,RC008,Closed,2024-01-11,2024-01-27
DEV000273,PROD00913,BATCH001279,PLANT05,Labeling Error,Minor,RC018,Closed,2023-08-30,2023-10-04
DEV000274,PROD00992,BATCH000044,PLANT02,Out-of-Specification (OOS),Major,RC007,Closed,2023-08-05,2023-08-24
DEV000275,PROD00503,BATCH001073,PLANT05,Equipment Malfunction,Major,RC006,Open,2024-08-07,
DEV000276,PROD00339,BATCH000130,PLANT04,Labeling Error,Major,RC016,Under Review,2023-02-16,
DEV000277,PROD00387,BATCH001313,PLANT05,Out-of-Specification (OOS),Critical,RC025,Closed,2024-11-07,2024-12-15
DEV000278,PROD00855,BATCH001321,PLANT04,Labeling Error,Critical,RC002,Closed,2023-12-12,2023-12-19
DEV000279,PROD00948,BATCH000631,PLANT05,Labeling Error,Minor,RC025,Closed,2024-12-23,2025-01-14
DEV000280,PROD00782,BATCH001400,PLANT04,Process Deviation,Critical,RC011,Under Review,2023-08-25,
DEV000281,PROD00346,BATCH001363,PLANT04,Documentation Error,Minor,RC004,Closed,2023-12-06,2023-12-25
DEV000282,PROD00002,BATCH000290,PLANT05,Equipment Malfunction,Major,RC024,Closed,2024-11-25,2024-11-30
DEV000283,PROD00865,BATCH000428,PLANT01,Process Deviation,Minor,RC023,Closed,2023-04-28,2023-05-11
DEV000284,PROD00372,BATCH001234,PLANT02,Documentation Error,Critical,RC012,Open,2024-01-14,
DEV000285,PROD00941,BATCH001487,PLANT02,Contamination,Minor,RC002,Closed,2023-08-25,2023-09-16
DEV000286,PROD00288,BATCH000475,PLANT01,Documentation Error,Minor,RC017,Closed,2023-04-17,2023-04-26
DEV000287,PROD00634,BATCH000365,PLANT05,Temperature Excursion,Minor,RC008,Closed,2024-06-11,2024-06-15
DEV000288,PROD00658,BATCH001273,PLANT04,Process Deviation,Minor,RC003,Closed,2025-04-24,2025-05-17
DEV000289,PROD00731,BATCH001176,PLANT05,Out-of-Specification (OOS),Minor,RC014,Closed,2024-05-24,2024-07-05
DEV000290,PROD00622,BATCH000360,PLANT02,Temperature Excursion,Minor,RC012,Open,2025-06-22,
DEV000291,PROD00154,BATCH000571,PLANT05,Documentation Error,Major,RC003,Under Review,2025-03-23,
DEV000292,PROD00430,BATCH000577,PLANT05,Equipment Malfunction,Minor,RC012,Under Review,2025-04-11,
DEV000293,PROD00442,BATCH000201,PLANT03,Equipment Malfunction,Minor,RC003,Open,2023-01-21,
DEV000294,PROD00874,BATCH001131,PLANT02,Out-of-Specification (OOS),Minor,RC008,Closed,2023-04-11,2023-04-25
DEV000295,PROD00642,BATCH000008,PLANT03,Documentation Error,Minor,RC018,Under Review,2024-08-10,
DEV000296,PROD00284,BATCH000185,PLANT04,Documentation Error,Major,RC002,Open,2024-08-22,
DEV000297,PROD00789,BATCH000777,PLANT02,Process Deviation,Major,RC018,Open,2023-01-04,
DEV000298,PROD00889,BATCH001183,PLANT01,Equipment Malfunction,Minor,RC025,Closed,2024-10-30,2024-11-21
DEV000299,PROD00702,BATCH000722,PLANT05,Equipment Malfunction,Major,RC008,Closed,2024-09-04,2024-10-01
DEV000300,PROD00085,BATCH000242,PLANT04,Contamination,Minor,RC016,Open,2025-06-21,
DEV000301,PROD00678,BATCH001257,PLANT01,Labeling Error,Minor,RC002,Open,2024-09-16,
DEV000302,PROD00007,BATCH000358,PLANT02,Equipment Malfunction,Minor,RC007,Under Review,2024-01-21,
DEV000303,PROD00832,BATCH001173,PLANT03,Temperature Excursion,Minor,RC007,Under Review,2024-12-23,
DEV000304,PROD00484,BATCH000616,PLANT03,Contamination,Major,RC014,Open,2024-02-15,
DEV000305,PROD00471,BATCH001395,PLANT04,Equipment Malfunction,Minor,RC019,Closed,2025-06-03,2025-06-10
DEV000306,PROD00535,BATCH000539,PLANT03,Contamination,Minor,RC012,Closed,2024-03-05,2024-03-15
DEV000307,PROD00594,BATCH000081,PLANT05,Labeling Error,Critical,RC004,Open,2025-06-01,
DEV000308,PROD00951,BATCH000507,PLANT01,Equipment Malfunction,Major,RC015,Closed,2024-10-30,2024-11-10
DEV000309,PROD00192,BATCH000140,PLANT03,Out-of-Specification (OOS),Critical,RC005,Open,2024-04-25,
DEV000310,PROD00247,BATCH000220,PLANT05,Contamination,Minor,RC021,Under Review,2024-06-09,
DEV000311,PROD00614,BATCH001111,PLANT01,Labeling Error,Minor,RC011,Closed,2023-06-13,2023-07-26
DEV000312,PROD00872,BATCH000319,PLANT05,Documentation Error,Major,RC008,Closed,2025-04-01,2025-04-07
DEV000313,PROD00267,BATCH001134,PLANT04,Temperature Excursion,Minor,RC007,Under Review,2025-01-18,
DEV000314,PROD00889,BATCH000947,PLANT01,Temperature Excursion,Major,RC001,Closed,2023-07-22,2023-08-31
DEV000315,PROD00739,BATCH000194,PLANT05,Process Deviation,Minor,RC013,Open,2024-06-19,
DEV000316,PROD00890,BATCH001195,PLANT04,Temperature Excursion,Minor,RC023,Closed,2024-05-04,2024-06-07
DEV000317,PROD00762,BATCH000891,PLANT05,Labeling Error,Minor,RC013,Closed,2024-02-23,2024-03-12
DEV000318,PROD00743,BATCH001387,PLANT02,Out-of-Specification (OOS),Major,RC008,Open,2024-04-06,
DEV000319,PROD00198,BATCH001239,PLANT05,Temperature Excursion,Major,RC012,Closed,2023-01-14,2023-02-26
DEV000320,PROD00982,BATCH000197,PLANT04,Contamination,Major,RC010,Closed,2023-12-13,2024-01-03
DEV000321,PROD00880,BATCH000169,PLANT02,Process Deviation,Minor,RC021,Closed,2023-03-09,2023-03-18
DEV000322,PROD00955,BATCH000298,PLANT02,Documentation Error,Minor,RC004,Open,2023-03-19,
DEV000323,PROD00169,BATCH000057,PLANT01,Equipment Malfunction,Major,RC018,Under Review,2024-10-11,
DEV000324,PROD00984,BATCH000387,PLANT05,Labeling Error,Minor,RC020,Open,2024-03-05,
DEV000325,PROD00122,BATCH000473,PLANT05,Out-of-Specification (OOS),Minor,RC015,Under Review,2023-06-07,
DEV000326,PROD00475,BATCH001440,PLANT02,Labeling Error,Major,RC006,Open,2024-01-26,
DEV000327,PROD00476,BATCH000122,PLANT01,Contamination,Major,RC001,Closed,2025-08-14,2025-09-15
DEV000328,PROD00879,BATCH000753,PLANT04,Labeling Error,Minor,RC005,Closed,2023-07-06,2023-08-03
DEV000329,PROD00189,BATCH000789,PLANT02,Labeling Error,Critical,RC007,Closed,2023-05-19,2023-06-23
DEV000330,PROD00207,BATCH001213,PLANT02,Contamination,Minor,RC024,Closed,2025-04-12,2025-05-07
DEV000331,PROD00276,BATCH000887,PLANT03,Contamination,Major,RC006,Closed,2024-04-04,2024-05-17
DEV000332,PROD00966,BATCH000520,PLANT04,Equipment Malfunction,Minor,RC018,Open,2023-05-18,
DEV000333,PROD00415,BATCH000316,PLANT04,Equipment Malfunction,Major,RC013,Open,2023-06-11,
DEV000334,PROD00347,BATCH000445,PLANT05,Contamination,Minor,RC010,Closed,2024-02-11,2024-03-03
DEV000335,PROD00237,BATCH000595,PLANT05,Labeling Error,Critical,RC024,Closed,2024-04-15,2024-04-27
DEV000336,PROD00691,BATCH001481,PLANT01,Process Deviation,Critical,RC010,Open,2024-12-09,
DEV000337,PROD00861,BATCH001143,PLANT04,Temperature Excursion,Major,RC012,Closed,2024-05-21,2024-06-11
DEV000338,PROD00686,BATCH000426,PLANT02,Equipment Malfunction,Minor,RC021,Under Review,2024-09-02,
DEV000339,PROD00905,BATCH000987,PLANT03,Contamination,Major,RC012,Under Review,2025-08-10,
DEV000340,PROD00161,BATCH001203,PLANT04,Contamination,Critical,RC009,Closed,2024-07-22,2024-08-14
DEV000341,PROD00302,BATCH000588,PLANT01,Process Deviation,Minor,RC014,Closed,2023-05-15,2023-05-26
DEV000342,PROD00866,BATCH000326,PLANT01,Out-of-Specification (OOS),Major,RC019,Open,2025-05-19,
DEV000343,PROD00327,BATCH001352,PLANT02,Temperature Excursion,Minor,RC021,Under Review,2023-03-27,
DEV000344,PROD00415,BATCH001026,PLANT04,Labeling Error,Minor,RC010,Open,2023-01-30,
DEV000345,PROD00917,BATCH000615,PLANT05,Out-of-Specification (OOS),Minor,RC001,Open,2025-04-05,
DEV000346,PROD00173,BATCH001309,PLANT05,Equipment Malfunction,Major,RC001,Closed,2025-02-04,2025-03-10
DEV000347,PROD00436,BATCH000497,PLANT02,Temperature Excursion,Minor,RC007,Closed,2024-06-27,2024-07-10
DEV000348,PROD00490,BATCH000971,PLANT03,Temperature Excursion,Major,RC015,Closed,2025-06-11,2025-06-26
DEV000349,PROD00992,BATCH000982,PLANT02,Process Deviation,Minor,RC019,Closed,2023-04-27,2023-05-11
DEV000350,PROD00703,BATCH000495,PLANT03,Contamination,Minor,RC022,Closed,2025-02-19,2025-02-26
DEV000351,PROD00778,BATCH001389,PLANT05,Documentation Error,Critical,RC015,Open,2023-07-11,
DEV000352,PROD00042,BATCH001127,PLANT05,Out-of-Specification (OOS),Minor,RC018,Open,2023-11-13,
DEV000353,PROD00511,BATCH001492,PLANT03,Documentation Error,Major,RC007,Closed,2023-05-14,2023-06-14
DEV000354,PROD00849,BATCH001230,PLANT02,Labeling Error,Critical,RC001,Closed,2025-02-28,2025-04-11
DEV000355,PROD00239,BATCH000499,PLANT05,Contamination,Major,RC012,Closed,2025-04-19,2025-05-29
DEV000356,PROD00895,BATCH000020,PLANT04,Documentation Error,Major,RC013,Under Review,2025-05-14,
DEV000357,PROD00334,BATCH000368,PLANT04,Out-of-Specification (OOS),Critical,RC016,Closed,2023-07-01,2023-07-30
DEV000358,PROD00232,BATCH001402,PLANT04,Out-of-Specification (OOS),Minor,RC006,Closed,2023-10-20,2023-11-27
DEV000359,PROD00905,BATCH001354,PLANT03,Process Deviation,Minor,RC012,Under Review,2025-03-26,
DEV000360,PROD00638,BATCH000280,PLANT05,Labeling Error,Major,RC010,Closed,2023-01-27,2023-02-03
DEV000361,PROD00218,BATCH000163,PLANT03,Process Deviation,Major,RC012,Closed,2023-07-20,2023-08-28
DEV000362,PROD00019,BATCH000930,PLANT02,Process Deviation,Major,RC006,Under Review,2025-05-24,
DEV000363,PROD00039,BATCH000419,PLANT03,Documentation Error,Minor,RC021,Closed,2025-02-15,2025-02-18
DEV000364,PROD00295,BATCH000153,PLANT02,Temperature Excursion,Minor,RC022,Closed,2025-06-01,2025-06-10
DEV000365,PROD00536,BATCH000822,PLANT04,Documentation Error,Minor,RC006,Closed,2023-03-29,2023-04-22
DEV000366,PROD00545,BATCH000325,PLANT03,Process Deviation,Major,RC011,Under Review,2024-02-09,
DEV000367,PROD00681,BATCH000733,PLANT05,Out-of-Specification (OOS),Critical,RC019,Open,2023-02-24,
DEV000368,PROD00950,BATCH001379,PLANT02,Temperature Excursion,Minor,RC007,Open,2023-06-29,
DEV000369,PROD00542,BATCH000676,PLANT03,Out-of-Specification (OOS),Major,RC007,Closed,2024-04-28,2024-05-03
DEV000370,PROD00222,BATCH001202,PLANT04,Contamination,Minor,RC001,Under Review,2023-05-17,
DEV000371,PROD00473,BATCH000406,PLANT05,Documentation Error,Major,RC017,Closed,2023-01-13,2023-01-19
DEV000372,PROD00463,BATCH000324,PLANT03,Labeling Error,Minor,RC016,Open,2024-01-29,
DEV000373,PROD00671,BATCH000870,PLANT04,Documentation Error,Major,RC003,Closed,2023-07-02,2023-08-11
DEV000374,PROD00118,BATCH000909,PLANT02,Equipment Malfunction,Major,RC011,Under Review,2023-03-14,
DEV000375,PROD00994,BATCH000299,PLANT05,Process Deviation,Minor,RC020,Closed,2023-07-25,2023-08-03
DEV000376,PROD00668,BATCH001264,PLANT05,Temperature Excursion,Critical,RC025,Under Review,2023-04-21,
DEV000377,PROD00215,BATCH000626,PLANT04,Equipment Malfunction,Major,RC019,Closed,2025-04-21,2025-05-11
DEV000378,PROD00294,BATCH001047,PLANT03,Documentation Error,Minor,RC014,Under Review,2023-08-16,
DEV000379,PROD00709,BATCH000504,PLANT03,Temperature Excursion,Minor,RC025,Closed,2024-02-10,2024-03-25
DEV000380,PROD00834,BATCH000955,PLANT02,Contamination,Minor,RC020,Closed,2023-11-30,2023-12-26
DEV000381,PROD00287,BATCH000295,PLANT05,Process Deviation,Minor,RC013,Closed,2023-01-26,2023-02-27
DEV000382,PROD00365,BATCH000809,PLANT05,Documentation Error,Major,RC007,Closed,2024-12-06,2024-12-23
DEV000383,PROD00459,BATCH000945,PLANT05,Documentation Error,Minor,RC002,Under Review,2024-07-29,
DEV000384,PROD00170,BATCH000999,PLANT03,Process Deviation,Minor,RC022,Closed,2025-03-06,2025-04-18
DEV000385,PROD00979,BATCH000493,PLANT02,Out-of-Specification (OOS),Minor,RC004,Closed,2023-09-27,2023-10-25
DEV000386,PROD00839,BATCH001045,PLANT03,Documentation Error,Minor,RC001,Open,2025-06-25,
DEV000387,PROD00167,BATCH001079,PLANT05,Out-of-Specification (OOS),Minor,RC019,Closed,2023-09-05,2023-10-19
DEV000388,PROD00333,BATCH000550,PLANT05,Equipment Malfunction,Major,RC024,Closed,2023-02-23,2023-04-02
DEV000389,PROD00858,BATCH001306,PLANT03,Temperature Excursion,Major,RC021,Open,2023-06-03,
DEV000390,PROD00439,BATCH000352,PLANT04,Out-of-Specification (OOS),Minor,RC022,Closed,2023-01-28,2023-03-02
DEV000391,PROD00223,BATCH001114,PLANT04,Contamination,Major,RC015,Closed,2023-05-07,2023-05-25
DEV000392,PROD00690,BATCH001386,PLANT03,Contamination,Minor,RC002,Closed,2024-04-25,2024-05-11
DEV000393,PROD00974,BATCH000907,PLANT04,Process Deviation,Critical,RC007,Closed,2024-07-21,2024-07-28
DEV000394,PROD00204,BATCH000340,PLANT03,Temperature Excursion,Major,RC016,Open,2025-05-09,
DEV000395,PROD00767,BATCH001038,PLANT03,Documentation Error,Minor,RC003,Closed,2025-05-03,2025-06-10
DEV000396,PROD00665,BATCH001117,PLANT02,Contamination,Minor,RC006,Closed,2023-02-28,2023-03-21
DEV000397,PROD00282,BATCH001217,PLANT02,Contamination,Minor,RC025,Closed,2023-01-10,2023-01-29
DEV000398,PROD00844,BATCH000527,PLANT04,Equipment Malfunction,Minor,RC011,Closed,2023-12-26,2024-01-17
DEV000399,PROD00328,BATCH001305,PLANT03,Out-of-Specification (OOS),Minor,RC007,Closed,2023-11-12,2023-12-11
DEV000400,PROD00135,BATCH000786,PLANT01,Process Deviation,Minor,RC019,Closed,2024-09-04,2024-10-02
DEV000401,PROD00027,BATCH000171,PLANT05,Contamination,Major,RC001,Closed,2023-12-04,2023-12-21
DEV000402,PROD00055,BATCH000107,PLANT05,Process Deviation,Major,RC009,Closed,2024-04-23,2024-06-06
DEV000403,PROD00194,BATCH000604,PLANT05,Equipment Malfunction,Minor,RC022,Closed,2023-08-25,2023-08-30
DEV000404,PROD00902,BATCH000037,PLANT04,Contamination,Minor,RC014,Closed,2024-12-07,2024-12-16
DEV000405,PROD00644,BATCH000908,PLANT01,Labeling Error,Major,RC009,Closed,2025-03-18,2025-03-24
DEV000406,PROD00835,BATCH000778,PLANT02,Equipment Malfunction,Major,RC022,Closed,2024-07-21,2024-09-01
DEV000407,PROD00123,BATCH000339,PLANT04,Out-of-Specification (OOS),Major,RC018,Closed,2025-07-07,2025-08-04
DEV000408,PROD00828,BATCH000773,PLANT04,Equipment Malfunction,Minor,RC009,Closed,2023-04-30,2023-05-30
DEV000409,PROD00910,BATCH000781,PLANT03,Out-of-Specification (OOS),Minor,RC007,Open,2024-01-08,
DEV000410,PROD00783,BATCH000643,PLANT04,Temperature Excursion,Major,RC023,Closed,2025-04-13,2025-04-21
DEV000411,PROD00923,BATCH000375,PLANT01,Contamination,Critical,RC025,Closed,2024-04-28,2024-05-13
DEV000412,PROD00070,BATCH001209,PLANT02,Process Deviation,Major,RC001,Closed,2024-06-22,2024-07-07
DEV000413,PROD00284,BATCH000206,PLANT04,Documentation Error,Minor,RC021,Closed,2023-06-26,2023-08-09
DEV000414,PROD00183,BATCH000649,PLANT04,Temperature Excursion,Major,RC021,Closed,2024-01-06,2024-01-23
DEV000415,PROD00501,BATCH000996,PLANT02,Contamination,Minor,RC006,Closed,2024-10-04,2024-11-07
DEV000416,PROD00411,BATCH000452,PLANT01,Process Deviation,Major,RC007,Closed,2025-03-17,2025-04-15
DEV000417,PROD00619,BATCH001137,PLANT04,Contamination,Major,RC023,Under Review,2024-07-17,
DEV000418,PROD00799,BATCH001053,PLANT03,Equipment Malfunction,Major,RC012,Closed,2024-09-11,2024-10-19
DEV000419,PROD00307,BATCH000103,PLANT02,Labeling Error,Major,RC012,Under Review,2023-02-02,
DEV000420,PROD00319,BATCH000289,PLANT01,Documentation Error,Minor,RC013,Closed,2023-10-15,2023-10-20
DEV000421,PROD00603,BATCH001498,PLANT04,Equipment Malfunction,Major,RC008,Open,2023-03-19,
DEV000422,PROD00921,BATCH000586,PLANT01,Out-of-Specification (OOS),Minor,RC013,Closed,2025-04-12,2025-05-15
DEV000423,PROD00579,BATCH000042,PLANT05,Temperature Excursion,Major,RC001,Closed,2025-04-01,2025-05-05
DEV000424,PROD00208,BATCH000541,PLANT02,Process Deviation,Minor,RC001,Closed,2025-04-18,2025-05-07
DEV000425,PROD00524,BATCH000159,PLANT04,Process Deviation,Minor,RC016,Closed,2024-05-14,2024-06-01
DEV000426,PROD00221,BATCH000017,PLANT03,Process Deviation,Minor,RC008,Open,2024-02-23,
DEV000427,PROD00114,BATCH000943,PLANT05,Process Deviation,Major,RC011,Closed,2024-05-04,2024-05-21
DEV000428,PROD00203,BATCH000210,PLANT02,Out-of-Specification (OOS),Major,RC005,Closed,2023-11-10,2023-11-16
DEV000429,PROD00978,BATCH000142,PLANT02,Process Deviation,Minor,RC014,Closed,2024-03-05,2024-04-18
DEV000430,PROD00693,BATCH000276,PLANT01,Temperature Excursion,Minor,RC025,Closed,2025-02-28,2025-04-09
DEV000431,PROD00403,BATCH000574,PLANT05,Documentation Error,Critical,RC025,Closed,2023-08-20,2023-09-01
DEV000432,PROD00603,BATCH000511,PLANT04,Documentation Error,Major,RC017,Open,2024-03-28,
DEV000433,PROD00905,BATCH001445,PLANT03,Labeling Error,Minor,RC014,Open,2023-02-05,
DEV000434,PROD00083,BATCH000935,PLANT05,Documentation Error,Critical,RC023,Closed,2025-04-16,2025-04-29
DEV000435,PROD00920,BATCH001278,PLANT04,Equipment Malfunction,Major,RC009,Closed,2023-03-27,2023-03-31
DEV000436,PROD00438,BATCH000369,PLANT02,Temperature Excursion,Major,RC003,Closed,2024-11-11,2024-11-19
DEV000437,PROD00487,BATCH000865,PLANT03,Temperature Excursion,Minor,RC004,Closed,2023-06-07,2023-06-10
DEV000438,PROD00716,BATCH000747,PLANT04,Process Deviation,Minor,RC014,Open,2023-04-27,
DEV000439,PROD00741,BATCH000897,PLANT01,Temperature Excursion,Minor,RC013,Closed,2024-04-03,2024-05-04
DEV000440,PROD00958,BATCH001439,PLANT02,Process Deviation,Major,RC018,Closed,2024-11-18,2024-12-19
DEV000441,PROD00761,BATCH000597,PLANT05,Documentation Error,Major,RC005,Closed,2024-05-03,2024-06-05
DEV000442,PROD00230,BATCH000811,PLANT03,Equipment Malfunction,Major,RC025,Closed,2025-04-21,2025-05-20
DEV000443,PROD00919,BATCH000455,PLANT03,Labeling Error,Minor,RC003,Closed,2023-03-12,2023-04-25
DEV000444,PROD00655,BATCH001472,PLANT05,Out-of-Specification (OOS),Major,RC014,Closed,2025-02-26,2025-04-06
DEV000445,PROD00069,BATCH000651,PLANT03,Equipment Malfunction,Major,RC019,Closed,2023-05-04,2023-05-25
DEV000446,PROD00666,BATCH000062,PLANT01,Contamination,Minor,RC023,Closed,2023-11-17,2023-12-04
DEV000447,PROD00647,BATCH000162,PLANT04,Labeling Error,Major,RC012,Closed,2023-02-05,2023-03-10
DEV000448,PROD00701,BATCH000430,PLANT05,Temperature Excursion,Minor,RC011,Closed,2025-02-16,2025-03-23
DEV000449,PROD00755,BATCH000758,PLANT04,Process Deviation,Minor,RC005,Closed,2025-01-25,2025-02-28
DEV000450,PROD00646,BATCH000429,PLANT03,Process Deviation,Minor,RC003,Closed,2024-10-14,2024-11-07
DEV000451,PROD00765,BATCH001225,PLANT05,Out-of-Specification (OOS),Minor,RC023,Under Review,2023-08-14,
DEV000452,PROD00051,BATCH001112,PLANT01,Process Deviation,Major,RC006,Closed,2024-11-11,2024-12-03
DEV000453,PROD00776,BATCH000063,PLANT04,Equipment Malfunction,Minor,RC009,Closed,2024-08-30,2024-09-26
DEV000454,PROD00055,BATCH000234,PLANT05,Temperature Excursion,Major,RC013,Closed,2023-08-07,2023-08-21
DEV000455,PROD00237,BATCH000663,PLANT05,Equipment Malfunction,Critical,RC017,Closed,2025-04-05,2025-04-17
DEV000456,PROD00147,BATCH000619,PLANT05,Process Deviation,Minor,RC003,Closed,2025-03-20,2025-04-29
DEV000457,PROD00735,BATCH000757,PLANT05,Documentation Error,Minor,RC014,Closed,2023-06-15,2023-06-18
DEV000458,PROD00035,BATCH001059,PLANT03,Temperature Excursion,Minor,RC017,Closed,2023-06-08,2023-07-18
DEV000459,PROD00980,BATCH001096,PLANT02,Temperature Excursion,Minor,RC006,Closed,2024-04-15,2024-05-19
DEV000460,PROD00714,BATCH000462,PLANT03,Equipment Malfunction,Minor,RC013,Closed,2025-07-06,2025-08-13
DEV000461,PROD00399,BATCH000188,PLANT05,Equipment Malfunction,Minor,RC025,Closed,2023-07-19,2023-07-29
DEV000462,PROD00092,BATCH000449,PLANT05,Contamination,Critical,RC001,Closed,2023-03-19,2023-04-28
DEV000463,PROD00114,BATCH001374,PLANT05,Documentation Error,Major,RC007,Closed,2024-01-03,2024-02-07
DEV000464,PROD00851,BATCH001424,PLANT02,Documentation Error,Major,RC002,Open,2025-03-15,
DEV000465,PROD00476,BATCH001228,PLANT01,Process Deviation,Minor,RC012,Closed,2024-01-03,2024-01-29
DEV000466,PROD00429,BATCH000135,PLANT05,Contamination,Minor,RC012,Open,2025-03-26,
DEV000467,PROD00437,BATCH001118,PLANT02,Process Deviation,Minor,RC021,Closed,2024-09-21,2024-10-13
DEV000468,PROD00584,BATCH000564,PLANT03,Labeling Error,Critical,RC016,Closed,2023-01-17,2023-01-20
DEV000469,PROD00214,BATCH000391,PLANT01,Out-of-Specification (OOS),Minor,RC002,Closed,2023-01-25,2023-01-28
DEV000470,PROD00004,BATCH000189,PLANT04,Contamination,Minor,RC023,Under Review,2024-04-24,
DEV000471,PROD00772,BATCH000924,PLANT03,Equipment Malfunction,Minor,RC013,Closed,2024-07-24,2024-08-14
DEV000472,PROD00679,BATCH000737,PLANT04,Contamination,Major,RC014,Closed,2025-01-01,2025-01-31
DEV000473,PROD00022,BATCH000850,PLANT02,Labeling Error,Minor,RC003,Under Review,2024-03-22,
DEV000474,PROD00455,BATCH001392,PLANT04,Out-of-Specification (OOS),Major,RC010,Closed,2023-04-04,2023-04-08
DEV000475,PROD00282,BATCH001024,PLANT02,Process Deviation,Minor,RC019,Closed,2025-06-29,2025-07-26
DEV000476,PROD00455,BATCH000478,PLANT04,Documentation Error,Minor,RC023,Closed,2025-04-04,2025-04-25
DEV000477,PROD00310,BATCH000014,PLANT03,Contamination,Minor,RC011,Under Review,2023-10-04,
DEV000478,PROD00898,BATCH001490,PLANT04,Contamination,Major,RC009,Closed,2023-04-10,2023-04-14
DEV000479,PROD00191,BATCH000967,PLANT03,Documentation Error,Minor,RC017,Closed,2023-11-03,2023-11-29
DEV000480,PROD00783,BATCH001099,PLANT04,Temperature Excursion,Major,RC019,Closed,2023-09-28,2023-11-10
DEV000481,PROD00553,BATCH000723,PLANT04,Labeling Error,Minor,RC023,Closed,2023-08-04,2023-08-31
DEV000482,PROD00737,BATCH000956,PLANT03,Contamination,Major,RC017,Open,2025-03-05,
DEV000483,PROD00818,BATCH000718,PLANT02,Equipment Malfunction,Minor,RC001,Open,2023-08-28,
DEV000484,PROD00715,BATCH001425,PLANT03,Temperature Excursion,Minor,RC009,Closed,2023-08-05,2023-08-22
DEV000485,PROD00538,BATCH001105,PLANT05,Out-of-Specification (OOS),Major,RC004,Open,2023-07-15,
DEV000486,PROD00646,BATCH000456,PLANT03,Out-of-Specification (OOS),Minor,RC002,Under Review,2024-07-22,
DEV000487,PROD00491,BATCH000219,PLANT03,Documentation Error,Major,RC020,Closed,2025-07-23,2025-09-02
DEV000488,PROD00389,BATCH000465,PLANT01,Documentation Error,Critical,RC003,Closed,2023-01-18,2023-02-08
